CVID,Horas,Uso
15013,8,PST
15014,8,PST
15015,8,PST
15016,8,PST
15017,8,PST
15018,8,PST
15019,8,PST
15020,8,PST
15021,8,PST
15022,8,PST
15023,8,PST
15024,8,PST
15025,8,PST
15026,8,PST
15027,8,PST
15028,8,PST
15029,8,PST
15030,8,PST
15031,8,PST
15032,8,PST
15033,8,PST
15034,8,PST
15035,8,PST
15036,8,PST
15037,8,PST
15038,8,PST
15039,8,PST
15040,8,PST
15041,8,PST
15042,8,PST
15043,8,PST
15044,8,PST
15045,8,PST
15046,8,PST
15047,8,PST
15048,8,PST
15049,8,PST
15050,8,PST
15051,8,PST
15052,8,PST
15053,8,PST
15054,8,PST
15055,8,PST
15056,8,PST
15057,8,PST
15058,8,PST
15059,8,PST
15060,8,PST
15061,8,PST
15062,8,PST
15063,8,PST
15064,8,PST
15065,8,PST
15066,8,PST
15067,8,PST
15068,8,PST
15069,8,PST
15070,8,PST
15071,8,PST
15072,8,PST
15073,8,PST
15074,8,PST
15075,8,PST
15076,8,PST
15077,8,PST
15078,8,PST
15079,8,PST
15080,8,PST
15081,8,PST
15082,8,PST
15083,8,PST
15084,8,PST
15085,8,PST
15086,8,PST
15087,8,PST
15088,8,PST
15089,8,PST
15090,8,PST
15091,8,PST
15092,8,PST
15093,8,PST
15094,8,PST
15095,8,PST
15096,8,PST
15097,8,PST
15098,8,PST
15099,8,PST
15100,8,PST
15101,8,PST
15102,8,PST
15103,8,PST
15104,8,PST
15105,8,PST
15106,8,PST
15107,8,PST
15108,8,PST
15109,8,PST
15110,8,PST
15111,8,PST
15112,8,PST
15113,8,PST
15114,8,PST
15115,8,PST
15116,8,PST
15117,8,PST
15118,8,PST
15119,8,PST
15120,8,PST
15121,8,PST
15122,8,PST
15123,8,PST
15124,8,PST
15125,8,PST
16000,8,PST
16001,8,PST
16002,8,PST
16003,8,PST
16004,8,PST
16005,8,PST
16006,8,PST
16007,8,PST
16008,8,PST
16009,8,PST
16010,8,PST
16011,8,PST
16012,8,PST
16013,8,PST
16014,8,PST
16015,8,PST
16016,8,PST
16017,8,PST
16018,8,PST
16019,8,PST
16020,8,PST
16021,8,PST
16022,8,PST
16023,8,PST
16024,8,PST
16025,8,PST
16026,8,PST
16027,8,PST
16028,8,PST
16029,8,PST
16030,8,PST
16031,8,PST
16032,8,PST
16033,8,PST
16034,8,PST
16035,8,PST
16036,8,PST
16037,8,PST
16038,8,PST
16039,8,PST
16040,8,PST
16041,8,PST
16042,8,PST
16043,8,PST
16044,8,PST
16045,8,PST
16046,8,PST
16047,8,PST
16048,8,PST
16049,8,PST
16050,8,PST
16051,8,PST
16052,8,PST
16053,8,PST
16054,8,PST
16055,8,PST
16056,8,PST
16057,8,PST
16058,8,PST
16059,8,PST
16060,8,PST
16061,8,PST
16062,8,PST
16063,8,PST
16064,8,PST
16065,8,PST
16066,8,PST
16067,8,PST
16068,8,PST
16069,8,PST
16070,8,PST
16071,8,PST
16072,8,PST
16073,8,PST
16074,8,PST
16075,8,PST
16076,8,PST
16077,8,PST
16078,8,PST
16079,8,PST
16080,8,PST
16081,8,PST
16082,8,PST
16083,8,PST
16084,8,PST
16085,8,PST
16086,8,PST
16087,8,PST
16088,8,PST
16089,8,PST
16090,8,PST
16091,8,PST
16092,8,PST
16093,8,PST
16094,8,PST
16095,8,PST
16096,8,PST
16097,8,PST
16098,8,PST
16099,8,PST
16100,8,PST
16101,8,PST
16102,8,PST
16103,8,PST
16104,8,PST
16105,8,PST
16106,8,PST
16107,8,PST
16108,8,PST
16109,8,PST
16110,8,PST
16111,8,PST
16112,8,PST
16113,8,PST
17000,8,PST
17001,8,PST
17002,8,PST
17003,8,PST
17004,8,PST
17005,8,PST
17006,8,PST
17007,8,PST
17008,8,PST
17009,8,PST
17010,8,PST
17011,8,PST
17012,8,PST
17013,8,PST
17014,8,PST
17015,8,PST
17016,8,PST
17017,8,PST
17018,8,PST
17019,8,PST
17020,8,PST
17021,8,PST
17022,8,PST
17023,8,PST
17024,8,PST
17025,8,PST
17026,8,PST
17027,8,PST
17028,8,PST
17029,8,PST
17030,8,PST
17031,8,PST
17032,8,PST
17033,8,PST
18000,8,PST
18001,8,PST
18002,8,PST
18003,8,PST
18004,8,PST
18005,8,PST
18006,8,PST
18007,8,PST
18008,8,PST
18009,8,PST
18010,8,PST
18011,8,PST
18012,8,PST
18013,8,PST
18014,8,PST
18015,8,PST
18016,8,PST
18017,8,PST
18018,8,PST
18019,8,PST
18020,8,PST
19000,8,PST
19001,8,PST
19002,8,PST
19003,8,PST
19004,8,PST
19005,8,PST
19006,8,PST
19007,8,PST
19008,8,PST
19009,8,PST
19010,8,PST
19011,8,PST
19012,8,PST
19013,8,PST
19014,8,PST
19015,8,PST
19016,8,PST
19017,8,PST
19018,8,PST
19019,8,PST
19020,8,PST
19021,8,PST
19022,8,PST
19023,8,PST
19024,8,PST
19025,8,PST
19026,8,PST
19027,8,PST
19028,8,PST
19029,8,PST
19030,8,PST
19031,8,PST
19032,8,PST
19033,8,PST
19034,8,PST
19035,8,PST
19036,8,PST
19037,8,PST
19038,8,PST
19039,8,PST
19040,8,PST
19041,8,PST
19042,8,PST
19043,8,PST
19044,8,PST
19045,8,PST
19046,8,PST
19047,8,PST
19048,8,PST
19049,8,PST
19050,8,PST
19051,8,PST
20000,8,PST
20001,8,PST
20002,8,PST
20003,8,PST
20004,8,PST
20005,8,PST
20006,8,PST
20007,8,PST
20008,8,PST
20009,8,PST
20010,8,PST
20011,8,PST
20012,8,PST
20013,8,PST
20014,8,PST
